lat,lon,ts
47.62792,-122.228,2018-06-07 00:25:01.000
47.62736,-122.22798,2018-06-07 00:25:05.000
47.62287,-122.22796,2018-06-07 00:25:35.000
47.62163,-122.22799,2018-06-07 00:25:51.000
47.62156,-122.22801,2018-06-07 00:26:06.000
47.62139,-122.22802,2018-06-07 00:26:22.000
47.62131,-122.22801,2018-06-07 00:26:32.000
47.62117,-122.22803,2018-06-07 00:26:45.000
47.62105,-122.2259,2018-06-07 00:27:01.000
47.62027,-122.22342,2018-06-07 00:27:17.000
47.61928,-122.22203,2018-06-07 00:27:33.000
47.61915,-122.22187,2018-06-07 00:27:35.000
47.61567,-122.21838,2018-06-07 00:28:05.000
47.61431,-122.21558,2018-06-07 00:28:21.000
47.61304,-122.21301,2018-06-07 00:28:36.000
47.61197,-122.21081,2018-06-07 00:28:51.000
47.61172,-122.21036,2018-06-07 00:28:55.000
47.61037,-122.20795,2018-06-07 00:29:15.000
47.61033,-122.20789,2018-06-07 00:29:31.000
47.61032,-122.20789,2018-06-07 00:29:46.578
47.61032,-122.20789,2018-06-07 00:29:47.000
47.61014,-122.20699,2018-06-07 00:30:35.000
47.61014,-122.20699,2018-06-07 00:30:35.758
47.61014,-122.20699,2018-06-07 00:30:36.000
47.61015,-122.20698,2018-06-07 00:30:52.000
47.61001,-122.20664,2018-06-07 00:31:08.000
47.61,-122.20664,2018-06-07 00:31:11.945
47.60999,-122.20659,2018-06-07 00:31:45.000
47.60999,-122.2066,2018-06-07 00:32:00.000
47.60997,-122.20656,2018-06-07 00:32:15.000
47.60995,-122.20641,2018-06-07 00:32:31.000
47.60996,-122.20639,2018-06-07 00:32:35.000
47.61004,-122.20632,2018-06-07 00:32:55.000
47.61006,-122.20631,2018-06-07 00:33:12.765
47.61004,-122.20632,2018-06-07 00:33:51.000
47.61004,-122.20633,2018-06-07 00:33:52.753
47.61022,-122.2062,2018-06-07 00:34:09.000
47.61022,-122.2062,2018-06-07 00:34:10.000
47.61022,-122.2062,2018-06-07 00:34:11.000
47.61022,-122.2062,2018-06-07 00:34:12.000
47.61022,-122.2062,2018-06-07 00:34:13.000
47.61022,-122.2062,2018-06-07 00:34:14.000
47.61022,-122.2062,2018-06-07 00:34:15.000
47.61022,-122.2062,2018-06-07 00:34:16.000
47.61021,-122.20621,2018-06-07 00:34:17.000
47.61021,-122.20621,2018-06-07 00:34:18.000
47.61021,-122.20622,2018-06-07 00:34:19.000
47.61021,-122.20622,2018-06-07 00:34:20.000
47.61021,-122.20622,2018-06-07 00:34:21.000
47.6102,-122.20622,2018-06-07 00:34:22.000
47.6102,-122.20622,2018-06-07 00:34:23.000
47.6102,-122.20623,2018-06-07 00:34:39.000
47.6102,-122.20623,2018-06-07 00:34:55.000
47.6102,-122.20623,2018-06-07 00:35:10.000
47.6102,-122.20622,2018-06-07 00:35:18.722
47.6102,-122.20622,2018-06-07 00:35:19.435
47.61009,-122.20637,2018-06-07 00:35:35.000
47.61002,-122.20656,2018-06-07 00:35:51.000
